BOL_game_id,week,player_name,position,team,proj_passingYards,proj_passingCompletions,proj_passingTouchdowns,proj_passingAttempts,proj_passingInterceptions,proj_rushingYards,proj_rushingAttempts,proj_receivingYards,proj_receivingReceptions,proj_defensiveTotalTackles,proj_defensiveSacks,proj_defensiveInterceptions,proj_rushingTouchdowns,proj_receivingTouchdowns,BetTimeStamp,NFL_game_id,officialDate,Location
259334,1,Shane Zylstra,TE,DET,,,,,,,,,,,,,0.0,0.05095584692247217,2025-09-04T14:12:53.294042,2025_01_DET_GB,2025-09-07,Away
259334,1,Sione Vaki,RB,DET,,,,,,,,,,,,,0.05095584692247217,0.0,2025-09-04T14:12:53.294042,2025_01_DET_GB,2025-09-07,Away
259324,1,Teagan Quitoriano,TE,ATL,,,,,,,,,,,,,0.0,0.05095584692247217,2025-09-04T14:12:53.294042,2025_01_TB_ATL,2025-09-07,Home
259325,1,Stone Smartt,TE,NYJ,,,,,,,,,,,,,0.0,0.05095584692247217,2025-09-04T14:12:53.294042,2025_01_PIT_NYJ,2025-09-07,Home
259324,1,Feleipe Franks,TE,ATL,,,,,,,,,,,,,0.0,0.05095584692247217,2025-09-04T14:12:53.294042,2025_01_TB_ATL,2025-09-07,Home
259323,1,Tucker Fisk,TE,LAC,,,,,,,,,,,,,0.0,0.05095584692247217,2025-09-04T14:12:53.294042,2025_01_KC_LAC,2025-09-05,Home
259336,1,Reggie Gilliam,FB,BUF,,,,,,,,,,,,,0.0,0.0,2025-09-04T14:12:53.294042,2025_01_BAL_BUF,2025-09-07,Home
259335,1,Braxton Berrios,WR,HOU,,,,,,,,,,,,,0.0,0.061586721946129984,2025-09-04T14:12:53.294042,2025_01_HOU_LA,2025-09-07,Away
259332,1,Cody White,WR,SEA,,,,,,,,,,,,,0.0,0.061586721946129984,2025-09-04T14:12:53.294042,2025_01_SF_SEA,2025-09-07,Home
259326,1,Will Mallory,TE,IND,,,,,,,,,,,,,0.0,0.061586721946129984,2025-09-04T14:12:53.294042,2025_01_MIA_IND,2025-09-07,Home
259331,1,Ian Thomas,TE,LV,,,,,,,,,,,,,0.0,0.061586721946129984,2025-09-04T14:12:53.294042,2025_01_LV_NE,2025-09-07,Away
259325,1,Xavier Gipson,WR,NYJ,,,,,,,,,,,,,0.0,0.061586721946129984,2025-09-04T14:12:53.294042,2025_01_PIT_NYJ,2025-09-07,Home
259335,1,Xavier Smith,WR,LA,,,,,,,,,,,,,0.0,0.061586721946129984,2025-09-04T14:12:53.294042,2025_01_HOU_LA,2025-09-07,Home
259325,1,Arian Smith,WR,NYJ,,,,,,,,,,,,,0.0,0.061586721946129984,2025-09-04T14:12:53.294042,2025_01_PIT_NYJ,2025-09-07,Home
259336,1,Jackson Hawes,TE,BUF,,,,,,,,,,,,,0.0,0.061586721946129984,2025-09-04T14:12:53.294042,2025_01_BAL_BUF,2025-09-07,Home
259334,1,Craig Reynolds,RB,DET,,,,,,,,,,,,,0.061586721946129984,0.0,2025-09-04T14:12:53.294042,2025_01_DET_GB,2025-09-07,Away
