team,player,pos,PPR_PTS,INT_PASS,TD_PASS,YDS_PASS,TD_RUSH,YDS_RUSH,TD_REC,YDS_REC,REC_REC,pos_rank
BUFFALO BILLS,JOSH ALLEN,QB,354.01579999999996,10.165,27.5,3900.5199999999995,9.7125,500.5,0,0,0,1
BALTIMORE RAVENS,LAMAR JACKSON,QB,329.70175000000006,8.9625,28.5,3500.5,4.1625000000000005,686.3175,0,0,0,2
PHILADELPHIA EAGLES,JALEN HURTS,QB,307.52500000000003,7.965,16.5025,3200.5,11.5625,600.5,0,0,0,3
CINCINNATI BENGALS,JOE BURROW,QB,297.2192,0,33.5,4080.480000000001,0,0,0,0,0,4
WASHINGTON COMMANDERS,JAYDEN DANIELS,QB,278.3727,10.972499999999998,18.007499999999997,3097.9425,5.719999999999999,700.5,0,0,0,5
DALLAS COWBOYS,DAK PRESCOTT,QB,277.17030000000005,9.7125,25.440000000000005,4870.882500000001,0,0,0,0,0,6
TAMPA BAY BUCS,BAKER MAYFIELD,QB,265.1839,12.960000000000003,27.360000000000007,4541.5975,0,0,0,0,0,7
ARIZONA CARDINALS,KYLER MURRAY,QB,254.2135,10.5,20.5,3145.4625,3.307499999999999,475.5,0,0,0,8
KANSAS CITY CHIEFS,PATRICK MAHOMES,QB,250.59500000000003,9.7125,27.5,4000.5,0,0,0,0,0,9
NEW YORK JETS,JUSTIN FIELDS,QB,238.11800000000002,10.5,13.412500000000001,2600.5,6.5,624.4800000000001,0,0,0,10
JACKSONVILLE JAGUARS,TREVOR LAWRENCE,QB,236.87,11.5,28.462500000000002,3650.5,0,0,0,0,0,11
CHICAGO BEARS,CALEB WILLIAMS,QB,234.06579999999997,10.5925,26.8875,3692.5199999999995,0,0,0,0,0,12
SAN FRANCISCO 49ERS,BROCK PURDY,QB,233.85999999999999,11.040000000000003,25.479999999999997,3850.5,0,0,0,0,0,13
DETROIT LIONS,JARED GOFF,QB,229.07770000000002,11.5,28.5,3451.9425,0,0,0,0,0,14
GREEN BAY PACKERS,JORDAN LOVE,QB,228.67000000000002,11.5,27.412499999999998,3550.5,0,0,0,0,0,15
ATLANTA FALCONS,MICHAEL PENIX,QB,224.65229999999997,12.5,24.4975,3791.5575,0,0,0,0,0,16
LOS ANGELES CHARGERS,JUSTIN HERBERT,QB,221.4435,7.862500000000001,25.987499999999997,3330.4625,0,0,0,0,0,17
DENVER BRONCOS,BO NIX,QB,216.18,10.919999999999998,24.5,3500.5,0,0,0,0,0,18
HOUSTON TEXANS,C.J. STROUD,QB,211.1977,10.5,23.9725,3407.6925,0,0,0,0,0,19
NEW ENGLAND PATRIOTS,DRAKE MAYE,QB,203.7308,12.5,22.8575,3432.5199999999995,0,0,0,0,0,20
MINNESOTA VIKINGS,J.J. MCCARTHY,QB,197.935,12.4875,19.7225,3600.5,0,0,0,0,0,21
CAROLINA PANTHERS,BRYCE YOUNG,QB,191.5123,11.5,18.5,3512.8075,0,0,0,0,0,22
LAS VEGAS RAIDERS,GENO SMITH,QB,189.96269999999998,12.8225,22.037499999999998,3186.4425,0,0,0,0,0,23
PITTSBURGH STEELERS,AARON RODGERS,QB,182.29500000000002,8.4075,17.272499999999997,3250.5,0,0,0,0,0,24
SEATTLE SEAHAWKS,SAM DARNOLD,QB,160.1685,12.960000000000003,15.067499999999997,3145.4625,0,0,0,0,0,25
ATLANTA FALCONS,BIJAN ROBINSON,RB,275.821,0,0,0,10.5,1263.6625,0,359.54750000000007,50.5,1
DETROIT LIONS,JAHMYR GIBBS,RB,265.92674999999997,0,0,0,9.2925,1075.5,0,442.9425,58.327499999999986,2
PHILADELPHIA EAGLES,SAQUON BARKLEY,RB,254.106,0,0,0,11.2875,1239.4425,0,265.9425,35.8425,3
TAMPA BAY BUCS,BUCKY IRVING,RB,229.1595,0,0,0,7.5,1025.5,0,364.5199999999999,45.1575,4
BALTIMORE RAVENS,DERRICK HENRY,RB,219.055,0,0.09499999999999997,0,13.9375,1350.5,0,0,0,5
NEW ORLEANS SAINTS,ALVIN KAMARA,RB,202.25675,0,0,0,4.320000000000001,836.8075,0,346.885,57.9675,6
SEATTLE SEAHAWKS,KENNETH WALKER,RB,192.399,0,0,0,7,760.9225000000001,0,288.0675,45.5,7
SAN FRANCISCO 49ERS,CHRISTIAN MCCAFFREY,RB,175.9635,0,0,0,8.662499999999998,841.1925,0,398.6925,0,8
INDIANAPOLIS COLTS,JONATHAN TAYLOR,RB,161.49125000000004,0,0,0,8.4075,1110.4625,0,0,0,9
LOS ANGELES RAMS,KYREN WILLIAMS,RB,157.85875000000001,0,0,0,10.5,948.5875000000001,0,0,0,10
GREEN BAY PACKERS,JOSH JACOBS,RB,152.20875,0,0,0,8.7875,994.8375000000001,0,0,0,11
CINCINNATI BENGALS,CHASE BROWN,RB,146.67825,0,0,0,7.2475,1031.9325,0,0,0,12
BUFFALO BILLS,JAMES COOK,RB,137.25475,0,0,0,9.1375,824.2975000000001,0,0,0,13
ARIZONA CARDINALS,JAMES CONNER,RB,135.05,0,0,0,7.5,900.5,0,0,0,14
