team,player,pos,PPR_PTS,TD_PASS,YDS_PASS,TD_RUSH,YDS_RUSH,TD_REC,YDS_REC,REC_REC,pos_rank
BUFFALO BILLS,JOSH ALLEN,QB,374.87230000000005,24.5,4014.5575,11.040000000000003,500.5,0,0,0,1
PHILADELPHIA EAGLES,JALEN HURTS,QB,296.05499999999995,22.5,3150.5,6.247499999999999,425.5,0,0,0,2
CINCINNATI BENGALS,JOE BURROW,QB,295.17999999999995,33.8,3999.5,0,0,0,0,0,3
NEW YORK GIANTS,JAXSON DART,QB,288.045,20.5,3200.5,5.9125,425.5,0,0,0,4
BALTIMORE RAVENS,LAMAR JACKSON,QB,283.47375,24.5,3250.5,0,554.5375,0,0,0,5
DETROIT LIONS,JARED GOFF,QB,281.98,29.5,4099.5,0,0,0,0,0,6
LOS ANGELES RAMS,MATTHEW STAFFORD,QB,269.9815,30.5,3699.5375000000004,0,0,0,0,0,7
DALLAS COWBOYS,DAL PRESCOTT,QB,269.98,27.5,3999.5,0,0,0,0,0,8
KANSAS CITY CHIEFS,PATRICK MAHOMES,QB,265.97,28.487499999999997,3800.5,0,0,0,0,0,9
SAN FRANCISCO 49ERS,BROCK PURDY,QB,262.02,27.5,3800.5,0,0,0,0,0,10
NEW ENGLAND PATRIOTS,DRAKE MAYE,QB,258.02,26.5,3800.5,0,0,0,0,0,11
LOS ANGELES CHARGERS,JUSTIN HERBERT,QB,256.8215,25.5,3870.5375,0,0,0,0,0,12
TAMPA BAY BUCS,BAKER MAYFIELD,QB,244.02,25.5,3550.5,0,0,0,0,0,13
JACKSONVILLE JAGUARS,TREVOR LAWRENCE,QB,243.82080000000005,24.480000000000004,3647.520000000001,0,0,0,0,0,14
SEATTLE SEAHAWKS,SAM DARNOLD,QB,242.02,23.5,3700.5,0,0,0,0,0,15
CHICAGO BEARS,CALEB WILLIAMS,QB,241.98,24.5,3599.5,0,0,0,0,0,16
GREEN BAY PACKERS,JORDAN LOVE,QB,240.02,24.5,3550.5,0,0,0,0,0,17
DENVER BRONCOS,BO NIX,QB,238.02,24.5,3500.5,0,0,0,0,0,18
NEW ORLEANS SAINTS,TYLER SHOUGH,QB,223.98,20.5,3549.5,0,0,0,0,0,19
WASHINGTON COMMANDERS,JAYDEN DANIELS,QB,218.02,21.5,3300.5,0,0,0,0,0,20
INDIANAPOLIS COLTS,DANIEL JONES,QB,214.13,19.0275,3450.5,0,0,0,0,0,21
TENNESSEE TITANS,CAM WARD,QB,204.02,18.5,3250.5,0,0,0,0,0,22
CAROLINA PANTHERS,BRYCE YOUNG,QB,202.01999999999998,20.5,3000.5,0,0,0,0,0,23
PITTSBURGH STEELERS,AARON RODGERS,QB,184.5754,21.5,2464.385,0,0,0,0,0,24
MIAMI DOLPHINS,MALIK WILLIS,QB,170.01999999999998,13.5,2900.5,0,0,0,0,0,25
HOUSTON TEXANS,C.J. STROUD,QB,143.98,0,3599.5,0,0,0,0,0,26
DETROIT LIONS,JAHMYR GIBBS,RB,304.97875,0,0,12.5,1150.5,0,484.28749999999997,66.5,1
ATLANTA FALCONS,BIJAN ROBINSON,RB,288.41425000000004,0,0,9.120000000000001,1150.5,0,531.4425,65.5,2
INDIANAPOLIS COLTS,JONATHAN TAYLOR,RB,246.91175,0,0,11.5,1156.7125,0,312.4800000000001,30.9925,3
MIAMI DOLPHINS,DE'VON ACHANE,RB,241.10000000000002,0,0,5.5,1000.5,0,475.5,60.5,4
LAS VEGAS RAIDERS,ASHTON JEANTY,RB,234.68175000000002,0,0,7.5,999.5,0,332.3175,56.5,5
CINCINNATI BENGALS,CHASE BROWN,RB,227.34500000000003,0,0,6.9575000000000005,900.5,0,400.5,55.5,6
ARIZONA CARDINALS,JEREMIYAH LOVE,RB,201.75675,0,0,5.9125,825.5,0,332.3175,50.5,7
BALTIMORE RAVENS,DERRICK HENRY,RB,197.55,0,0,12.5,1225.5,0,0,0,8
BUFFALO BILLS,JAMES COOK,RB,180.53000000000003,0,0,10.080000000000002,1200.5,0,0,0,9
GREEN BAY PACKERS,JOSH JACOBS,RB,161.115,0,0,10.1775,1000.5,0,0,0,10
LOS ANGELES RAMS,KYREN WILLIAMS,RB,157.05,0,0,9.5,1000.5,0,0,0,11
PHILADELPHIA EAGLES,SAQUON BARKLEY,RB,155.05,0,0,7.5,1100.5,0,0,0,12
DALLAS COWBOYS,JAVONTE WILLIAMS,RB,151.47625,0,0,10.5925,879.2125000000001,0,0,0,13
LOS ANGELES CHARGERS,OMARION HAMPTON,RB,150.82699999999997,0,0,8.662499999999998,988.5199999999999,0,0,0,14
KANSAS CITY CHIEFS,KENNETH WALKER,RB,140.05,0,0,7.5,950.5,0,0,0,15
SAN FRANCISCO 49ERS,CHRISTIAN MCCAFFREY,RB,137.33175,0,0,8.5,863.3175,0,0,0,16
SEATTLE SEAHAWKS,JADARIAN PRICE,RB,127.16575,0,0,7.2475,836.8075,0,0,0,17
NEW YORK JETS,BREECE HALL,RB,126.43374999999999,0,0,4.0424999999999995,1021.7874999999999,0,0,0,18
HOUSTON TEXANS,DAVID MONTGOMERY,RB,126.348,0,0,7.200000000000001,831.4799999999999,0,0,0,19
NEW YORK GIANTS,CAM SKATTEBO,RB,124.05000000000001,0,0,6.5,850.5,0,0,0,20
NEW ORLEANS SAINTS,TRAVIS ETIENNE,RB,115.55000000000001,0,0,5.5,825.5,0,0,0,21
NEW ENGLAND PATRIOTS,TREVEYON HENDERSON,RB,111.845,0,0,6.1325,750.5,0,0,0,22
TENNESSEE TITANS,TONY POLLARD,RB,109.25500000000001,0,0,4.8675,800.5,0,0,0,23
