week,player_name,playerTeam,proj_passingAttempts,proj_passingCompletions,proj_passingYards,proj_passingTouchdowns,proj_passingInterceptions,proj_rushingAttempts,proj_rushingYards,proj_rushingTouchdowns,proj_receivingReceptions,proj_receivingYards,proj_receivingTouchdowns,proj_lostFumbles,proj_defensiveSacks,proj_defensiveInterceptions,proj_defensiveFumbles,proj_defensiveTouchdowns,proj_defensiveSafeties,proj_defensivePointsAllowed,proj_defensiveYardsAllowed,STD_FantasyPoints,TimeStamp
draft,Josh Allen,BUF,491.6,333.0,3811.4,27.4,11.2,118.1,585.5,11.8,0.0,0.0,0.0,4.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,372.1,2026-08-03 12:20:57
draft,Drake Maye,NE,503.9,346.0,4063.4,28.3,10.4,100.3,505.2,3.7,0.0,0.0,0.0,5.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,326.9,2026-08-03 12:20:57
draft,Lamar Jackson,BAL,449.3,291.9,3654.7,28.3,9.6,118.7,639.9,3.2,0.0,0.0,0.0,4.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,324.9,2026-08-03 12:20:57
draft,Jayden Daniels,WAS,495.4,323.5,3697.0,24.1,11.0,130.0,685.3,4.7,0.0,0.0,0.0,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,324.5,2026-08-03 12:20:57
draft,Jalen Hurts,PHI,488.0,316.9,3571.2,24.2,7.4,111.8,461.4,8.4,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.6,2026-08-03 12:20:57
draft,Jaxson Dart,NYG,509.9,324.8,3592.9,22.6,11.1,100.9,549.4,6.5,0.0,0.0,0.0,2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,311.7,2026-08-03 12:20:57
draft,Joe Burrow,CIN,589.7,394.5,4168.5,33.3,11.6,48.3,179.1,1.4,0.0,0.0,0.0,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,310.7,2026-08-03 12:20:57
draft,Dak Prescott,DAL,582.3,384.7,4295.8,30.9,11.3,49.1,173.3,1.7,0.0,0.0,0.0,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,306.2,2026-08-03 12:20:57
draft,Brock Purdy,SF,542.5,366.3,4119.6,27.7,14.3,70.5,304.1,3.8,0.0,0.0,0.0,4.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,306.0,2026-08-03 12:20:57
draft,Trevor Lawrence,JAC,545.5,335.4,3893.3,26.6,13.0,72.5,321.1,4.9,0.0,0.0,0.0,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,304.0,2026-08-03 12:20:57
draft,Jahmyr Gibbs,DET,0.0,0.0,0.0,0.0,0.0,274.4,1381.0,13.8,70.9,580.3,4.1,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,301.7,2026-08-03 12:20:57
draft,Bijan Robinson,ATL,0.0,0.0,0.0,0.0,0.0,289.6,1427.0,9.5,79.6,736.4,3.5,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,290.4,2026-08-03 12:20:57
draft,Jonathan Taylor,IND,0.0,0.0,0.0,0.0,0.0,327.4,1509.4,12.9,45.1,338.2,1.5,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,267.3,2026-08-03 12:20:57
draft,Christian McCaffrey,SF,0.0,0.0,0.0,0.0,0.0,269.4,1093.3,8.7,78.4,693.8,4.6,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,256.4,2026-08-03 12:20:57
draft,Derrick Henry,BAL,0.0,0.0,0.0,0.0,0.0,314.0,1569.0,13.4,17.8,172.2,0.7,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,255.3,2026-08-03 12:20:57
draft,James Cook III,BUF,0.0,0.0,0.0,0.0,0.0,287.3,1403.5,10.3,33.3,281.4,1.9,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,236.9,2026-08-03 12:20:57
draft,De'Von Achane,MIA,0.0,0.0,0.0,0.0,0.0,237.9,1197.5,6.0,65.3,490.6,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,226.7,2026-08-03 12:20:57
draft,Saquon Barkley,PHI,0.0,0.0,0.0,0.0,0.0,295.9,1311.3,8.2,41.7,330.4,2.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,224.2,2026-08-03 12:20:57
