,week,player_name,playerTeam,proj_passingAttempts,proj_passingCompletions,proj_passingYards,proj_passingTouchdowns,proj_passingInterceptions,proj_rushingAttempts,proj_rushingYards,proj_rushingTouchdowns,proj_receivingReceptions,proj_receivingYards,proj_receivingTouchdowns,proj_lostFumbles,proj_defensiveSacks,proj_defensiveInterceptions,proj_defensiveFumbles,proj_defensiveTouchdowns,proj_defensiveSafeties,proj_defensivePointsAllowed,proj_defensiveYardsAllowed,STD_FantasyPoints,TimeStamp
0,1,Jalen Hurts,PHI,27.6,19.0,218.4,1.6,0.5,8.9,40.9,0.8,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.1,2026-08-03 11:34:41
1,1,Lamar Jackson,BAL,29.2,20.0,235.9,1.8,0.4,7.9,51.3,0.2,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.4,2026-08-03 11:34:41
2,1,Jayden Daniels,WAS,30.8,21.1,227.3,1.6,0.5,8.5,48.1,0.4,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.8,2026-08-03 11:34:41
3,1,Josh Allen,BUF,32.5,20.7,240.7,1.6,0.5,7.3,33.8,0.5,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.6,2026-08-03 11:34:41
4,1,Joe Burrow,CIN,36.1,24.6,278.3,2.2,0.7,3.0,11.5,0.1,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.5,2026-08-03 11:34:41
5,1,Baker Mayfield,TB,33.4,23.6,254.2,2.0,0.9,4.1,18.2,0.1,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.5,2026-08-03 11:34:41
6,1,Patrick Mahomes,KC,35.7,24.2,254.0,1.7,0.6,4.5,22.6,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.4,2026-08-03 11:34:41
7,1,Bo Nix,DEN,33.5,22.3,227.8,1.7,0.5,5.5,26.4,0.2,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.1,2026-08-03 11:34:41
8,1,Kyler Murray,MIN,32.4,21.5,234.4,1.4,0.8,5.5,35.7,0.3,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.9,2026-08-03 11:34:41
9,1,Trevor Lawrence,JAC,30.8,20.0,237.0,1.5,0.8,3.5,17.5,0.2,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.5,2026-08-03 11:34:41
10,1,Saquon Barkley,PHI,0.0,0.0,0.0,0.0,0.0,20.4,105.7,0.8,2.4,18.5,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.8,2026-08-03 11:34:41
11,1,Bijan Robinson,ATL,0.0,0.0,0.0,0.0,0.0,18.4,83.2,0.7,3.5,26.3,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.7,2026-08-03 11:34:41
12,1,Derrick Henry,BAL,0.0,0.0,0.0,0.0,0.0,17.6,91.3,0.8,1.3,10.2,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.1,2026-08-03 11:34:41
13,1,Jonathan Taylor,IND,0.0,0.0,0.0,0.0,0.0,19.0,89.4,0.8,1.8,12.4,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,2026-08-03 11:34:41
14,1,Jahmyr Gibbs,DET,0.0,0.0,0.0,0.0,0.0,14.4,73.6,0.6,3.3,27.9,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.7,2026-08-03 11:34:41
15,1,Christian McCaffrey,SF,0.0,0.0,0.0,0.0,0.0,14.7,69.4,0.5,3.9,33.7,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.3,2026-08-03 11:34:41
16,1,De'Von Achane,MIA,0.0,0.0,0.0,0.0,0.0,13.6,64.9,0.5,4.2,31.3,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.7,2026-08-03 11:34:41
17,1,Kyren Williams,LAR,0.0,0.0,0.0,0.0,0.0,18.5,77.4,0.7,2.0,12.7,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.7,2026-08-03 11:34:41
18,1,Bucky Irving,TB,0.0,0.0,0.0,0.0,0.0,15.5,77.0,0.5,2.9,21.5,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.6,2026-08-03 11:34:41
19,1,Josh Jacobs,GB,0.0,0.0,0.0,0.0,0.0,17.3,72.2,0.7,2.4,19.8,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.6,2026-08-03 11:34:41
20,1,Ja'Marr Chase,CIN,0.0,0.0,0.0,0.0,0.0,0.1,0.7,0.0,7.1,96.3,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.2,2026-08-03 11:34:41
21,1,Justin Jefferson,MIN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.5,96.5,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,2026-08-03 11:34:41
22,1,Nico Collins,HOU,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,6.0,87.6,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.8,2026-08-03 11:34:41
