title,label,Price,officialDate,url,BetTimeStamp,week
Money Line – Game,Los Angeles Rams,1.294,2025-12-29,https://www.pinnacle.com/en/football/nfl/los-angeles-rams-vs-atlanta-falcons/1621295725/#all,2025-12-29T09:30:50.082446,17
Money Line – Game,Atlanta Falcons,3.880,2025-12-29,https://www.pinnacle.com/en/football/nfl/los-angeles-rams-vs-atlanta-falcons/1621295725/#all,2025-12-29T09:30:50.082446,17
Handicap – Game,-7.0,1.900,2025-12-29,https://www.pinnacle.com/en/football/nfl/los-angeles-rams-vs-atlanta-falcons/1621295725/#all,2025-12-29T09:30:50.093624,17
Handicap – Game,+7.0,2.010,2025-12-29,https://www.pinnacle.com/en/football/nfl/los-angeles-rams-vs-atlanta-falcons/1621295725/#all,2025-12-29T09:30:50.093624,17
Total – Game,Over 49.5,2.000,2025-12-29,https://www.pinnacle.com/en/football/nfl/los-angeles-rams-vs-atlanta-falcons/1621295725/#all,2025-12-29T09:30:50.094090,17
Total – Game,Under 49.5,1.884,2025-12-29,https://www.pinnacle.com/en/football/nfl/los-angeles-rams-vs-atlanta-falcons/1621295725/#all,2025-12-29T09:30:50.094090,17
Team Total – Game,Over 28.5,1.952,2025-12-29,https://www.pinnacle.com/en/football/nfl/los-angeles-rams-vs-atlanta-falcons/1621295725/#all,2025-12-29T09:30:50.094525,17
Team Total – Game,Under 28.5,1.900,2025-12-29,https://www.pinnacle.com/en/football/nfl/los-angeles-rams-vs-atlanta-falcons/1621295725/#all,2025-12-29T09:30:50.094525,17
Team Total – Game,Over 20.5,1.934,2025-12-29,https://www.pinnacle.com/en/football/nfl/los-angeles-rams-vs-atlanta-falcons/1621295725/#all,2025-12-29T09:30:50.094525,17
Team Total – Game,Under 20.5,1.917,2025-12-29,https://www.pinnacle.com/en/football/nfl/los-angeles-rams-vs-atlanta-falcons/1621295725/#all,2025-12-29T09:30:50.094525,17
Money Line – 1st Half,Los Angeles Rams,1.454,2025-12-29,https://www.pinnacle.com/en/football/nfl/los-angeles-rams-vs-atlanta-falcons/1621295725/#all,2025-12-29T09:30:50.094895,17
Money Line – 1st Half,Atlanta Falcons,2.900,2025-12-29,https://www.pinnacle.com/en/football/nfl/los-angeles-rams-vs-atlanta-falcons/1621295725/#all,2025-12-29T09:30:50.094895,17
Handicap – 1st Half,-4.0,2.000,2025-12-29,https://www.pinnacle.com/en/football/nfl/los-angeles-rams-vs-atlanta-falcons/1621295725/#all,2025-12-29T09:30:50.095245,17
Handicap – 1st Half,+4.0,1.884,2025-12-29,https://www.pinnacle.com/en/football/nfl/los-angeles-rams-vs-atlanta-falcons/1621295725/#all,2025-12-29T09:30:50.095245,17
Total – 1st Half,Over 24.5,1.970,2025-12-29,https://www.pinnacle.com/en/football/nfl/los-angeles-rams-vs-atlanta-falcons/1621295725/#all,2025-12-29T09:30:50.095531,17
Total – 1st Half,Under 24.5,1.900,2025-12-29,https://www.pinnacle.com/en/football/nfl/los-angeles-rams-vs-atlanta-falcons/1621295725/#all,2025-12-29T09:30:50.095531,17
