week,officialDate,Away,Home,player_name,BetTimeStamp,proj_receivingYards,proj_receivingReceptions,proj_rushingAttempts,proj_rushingYards,proj_rushingTouchdowns,proj_passingInterceptions,proj_passingAttempts,proj_passingCompletions,proj_passingYards,proj_passingTouchdowns,proj_receivingTouchdowns
17,2025-12-29,Los Angeles Rams,Atlanta Falcons,Bijan Robinson,2025-12-29T09:30:50.098458,46.20787415442564,4.951124800769139,17.436374703106107,74.60249810655716,0.33932576842216033,,,,,,0.21017422743953418
17,2025-12-29,Los Angeles Rams,Atlanta Falcons,Blake Corum,2025-12-29T09:30:50.099186,,,9.751749795001643,45.84612447215381,,,,,,,
17,2025-12-29,Los Angeles Rams,Atlanta Falcons,Colby Parkinson,2025-12-29T09:30:50.100029,33.5,3.8027499564219447,,,,,,,,,
17,2025-12-29,Los Angeles Rams,Atlanta Falcons,Darnell Mooney,2025-12-29T09:30:50.101038,23.85075052867997,1.8675000101119275,,,,,,,,,
17,2025-12-29,Los Angeles Rams,Atlanta Falcons,Davis Allen,2025-12-29T09:30:50.101733,18.5,1.8874999831467876,,,,,,,,,
17,2025-12-29,Los Angeles Rams,Atlanta Falcons,Drake London,2025-12-29T09:30:50.103734,70.40174893026224,5.89187495972868,,,,,,,,,
17,2025-12-29,Los Angeles Rams,Atlanta Falcons,Kirk Cousins,2025-12-29T09:30:50.105650,,,,,,0.5743750077323986,34.26212577769833,22.45262440596312,239.19913091569964,1.1017499953404666,
17,2025-12-29,Los Angeles Rams,Atlanta Falcons,Konata Mumpfield,2025-12-29T09:30:50.106814,24.739625233418042,2.0462500729870783,,,,,,,,,
17,2025-12-29,Los Angeles Rams,Atlanta Falcons,Kyle Pitts,2025-12-29T09:30:50.107995,57.592874019350475,5.4123749265207515,,,,,,,,,
17,2025-12-29,Los Angeles Rams,Atlanta Falcons,Kyren Williams,2025-12-29T09:30:50.109883,11.586250274828423,1.8052499509097628,14.5,66.02412546582218,0.4140843730771428,,,,,,0.07266563771224437
17,2025-12-29,Los Angeles Rams,Atlanta Falcons,Matthew Stafford,2025-12-29T09:30:50.111493,,,,,,0.40675001952671935,35.58537434881055,23.54787437698571,285.21411978076515,1.9393749331794634,
17,2025-12-29,Los Angeles Rams,Atlanta Falcons,Puka Nacua,2025-12-29T09:30:50.112468,110.48487657523243,8.578125261026436,,,,,,,,,
17,2025-12-29,Los Angeles Rams,Atlanta Falcons,Terrance Ferguson,2025-12-29T09:30:50.113588,24.5,1.794375021868384,,,,,,,,,
17,2025-12-29,Los Angeles Rams,Atlanta Falcons,Tyler Allgeier,2025-12-29T09:30:50.114704,,,,23.5,,,,,,,
