officialDate,week,Away,Home,Player,PropType,OverUnder,Value,Price,Implied,ImpNoVig,BetTimeStamp
2025-09-11,2,Washington Commanders,Green Bay Packers,Austin Ekeler,Receiving Yards,Over,20.5,1.869,0.5350455,0.5,2025-09-09T14:37:00.498535
2025-09-11,2,Washington Commanders,Green Bay Packers,Austin Ekeler,Receiving Yards,Under,20.5,1.869,0.5350455,0.5,2025-09-09T14:37:00.498535
2025-09-11,2,Washington Commanders,Green Bay Packers,Austin Ekeler,Receptions,Over,2.5,1.787,0.55959713,0.52321243,2025-09-09T14:37:00.498717
2025-09-11,2,Washington Commanders,Green Bay Packers,Austin Ekeler,Receptions,Under,2.5,1.961,0.5099439,0.47678763,2025-09-09T14:37:00.498717
2025-09-11,2,Washington Commanders,Green Bay Packers,Austin Ekeler,Rushing Yards,Over,22.5,1.869,0.5350455,0.5,2025-09-09T14:37:00.498964
2025-09-11,2,Washington Commanders,Green Bay Packers,Austin Ekeler,Rushing Yards,Under,22.5,1.869,0.5350455,0.5,2025-09-09T14:37:00.498964
2025-09-11,2,Washington Commanders,Green Bay Packers,Deebo Samuel,Receiving Yards,Over,51.5,1.869,0.5350455,0.5,2025-09-09T14:37:00.499173
2025-09-11,2,Washington Commanders,Green Bay Packers,Deebo Samuel,Receiving Yards,Under,51.5,1.869,0.5350455,0.5,2025-09-09T14:37:00.499173
2025-09-11,2,Washington Commanders,Green Bay Packers,Deebo Samuel,Receptions,Over,4.5,1.854,0.53937435,0.5040129,2025-09-09T14:37:00.499376
2025-09-11,2,Washington Commanders,Green Bay Packers,Deebo Samuel,Receptions,Under,4.5,1.884,0.53078556,0.49598715,2025-09-09T14:37:00.499376
2025-09-11,2,Washington Commanders,Green Bay Packers,Jacory Croskey-Merritt,Rush Attempts,Over,10.5,1.769,0.5652911,0.52814084,2025-09-09T14:37:00.499610
2025-09-11,2,Washington Commanders,Green Bay Packers,Jacory Croskey-Merritt,Rush Attempts,Under,10.5,1.980,0.5050505,0.47185916,2025-09-09T14:37:00.499610
2025-09-11,2,Washington Commanders,Green Bay Packers,Jacory Croskey-Merritt,Rushing Yards,Over,42.5,1.869,0.5350455,0.5,2025-09-09T14:37:00.499900
2025-09-11,2,Washington Commanders,Green Bay Packers,Jacory Croskey-Merritt,Rushing Yards,Under,42.5,1.869,0.5350455,0.5,2025-09-09T14:37:00.499900
