title,label,Price,officialDate,url,BetTimeStamp,week
Money Line – Game,Washington Commanders,2.590,2025-09-11,https://www.pinnacle.com/en/football/nfl/washington-commanders-vs-green-bay-packers/1614303670/#all,2025-09-10T11:04:26.245724,2
Money Line – Game,Green Bay Packers,1.549,2025-09-11,https://www.pinnacle.com/en/football/nfl/washington-commanders-vs-green-bay-packers/1614303670/#all,2025-09-10T11:04:26.245724,2
Handicap – Game,+1.0,2.510,2025-09-11,https://www.pinnacle.com/en/football/nfl/washington-commanders-vs-green-bay-packers/1614303670/#all,2025-09-10T11:04:26.247433,2
Handicap – Game,-1.0,1.574,2025-09-11,https://www.pinnacle.com/en/football/nfl/washington-commanders-vs-green-bay-packers/1614303670/#all,2025-09-10T11:04:26.247433,2
Handicap – Game,+1.5,2.390,2025-09-11,https://www.pinnacle.com/en/football/nfl/washington-commanders-vs-green-bay-packers/1614303670/#all,2025-09-10T11:04:26.247433,2
Handicap – Game,-1.5,1.625,2025-09-11,https://www.pinnacle.com/en/football/nfl/washington-commanders-vs-green-bay-packers/1614303670/#all,2025-09-10T11:04:26.247433,2
Handicap – Game,+2.0,2.340,2025-09-11,https://www.pinnacle.com/en/football/nfl/washington-commanders-vs-green-bay-packers/1614303670/#all,2025-09-10T11:04:26.247433,2
Handicap – Game,-2.0,1.653,2025-09-11,https://www.pinnacle.com/en/football/nfl/washington-commanders-vs-green-bay-packers/1614303670/#all,2025-09-10T11:04:26.247433,2
Handicap – Game,+2.5,2.290,2025-09-11,https://www.pinnacle.com/en/football/nfl/washington-commanders-vs-green-bay-packers/1614303670/#all,2025-09-10T11:04:26.247433,2
Handicap – Game,-2.5,1.684,2025-09-11,https://www.pinnacle.com/en/football/nfl/washington-commanders-vs-green-bay-packers/1614303670/#all,2025-09-10T11:04:26.247433,2
Handicap – Game,+3.0,2.090,2025-09-11,https://www.pinnacle.com/en/football/nfl/washington-commanders-vs-green-bay-packers/1614303670/#all,2025-09-10T11:04:26.247433,2
