player_name,stat_raw,stat,seasons,matchup_id,line,over_odds,under_odds,over_prob,under_prob,no_vig_over_prob
Aaron Rodgers,Passing Yards,passingYards,2026/2027,1631991091,3199.5,107.0,-129.0,0.4830917874396135,0.5633187772925764,0.4616656250630002
Baker Mayfield,Passing Yards,passingYards,2026/2027,1631991760,3599.5,-107.0,-113.0,0.5169082125603864,0.5305164319248826,0.4935039625828245
Bo Nix,Passing Yards,passingYards,2026/2027,1631991067,3499.5,-110.0,-110.0,0.5238095238095238,0.5238095238095238,0.5
Brock Purdy,Passing Yards,passingYards,2026/2027,1631991735,3799.5,-101.0,-120.0,0.5024875621890548,0.5454545454545454,0.47949935261113513
Bryce Young,Passing Yards,passingYards,2026/2027,1631991744,3074.5,-106.0,-114.0,0.5145631067961165,0.5327102803738317,0.49133599029630914
C.J. Stroud,Passing Yards,passingYards,2026/2027,1631991751,3649.5,-103.0,-117.0,0.5073891625615764,0.5391705069124424,0.48481627695110846
Caleb Williams,Passing Yards,passingYards,2026/2027,1631991079,3624.5,-137.0,113.0,0.5780590717299579,0.4694835680751174,0.5518239065070631
Cameron Ward,Passing Yards,passingYards,2026/2027,1631991741,3299.5,-107.0,-113.0,0.5169082125603864,0.5305164319248826,0.4935039625828245
Dak Prescott,Passing Yards,passingYards,2026/2027,1631991094,3999.5,-119.0,-102.0,0.54337899543379,0.504950495049505,0.5183284457478006
Drake Maye,Passing Yards,passingYards,2026/2027,1631991082,3799.5,-112.0,-108.0,0.5283018867924528,0.5192307692307693,0.5043297540699688
Jalen Hurts,Passing Yards,passingYards,2026/2027,1631991064,3249.5,103.0,-125.0,0.49261083743842365,0.5555555555555556,0.46997389033942555
Jared Goff,Passing Yards,passingYards,2026/2027,1631991757,4099.5,-113.0,-107.0,0.5305164319248826,0.5169082125603864,0.5064960374171755
Jaxson Dart,Passing Yards,passingYards,2026/2027,1631991088,3150.5,-103.0,-117.0,0.5073891625615764,0.5391705069124424,0.48481627695110846
Jayden Daniels,Passing Yards,passingYards,2026/2027,1631991676,3249.5,-109.0,-111.0,0.5215311004784688,0.5260663507109005,0.4978354041300489
Joe Burrow,Passing Yards,passingYards,2026/2027,1631991070,3999.5,-107.0,-113.0,0.5169082125603864,0.5305164319248826,0.4935039625828245
Jordan Love,Passing Yards,passingYards,2026/2027,1631991061,3549.5,-109.0,-111.0,0.5215311004784688,0.5260663507109005,0.4978354041300489
