week,officialDate,Away,Home,player_name,BetTimeStamp,proj_receivingYards,proj_receivingReceptions,proj_rushingTouchdowns,proj_passingInterceptions,proj_passingAttempts,proj_passingCompletions,proj_passingYards,proj_rushingAttempts,proj_rushingYards,proj_passingTouchdowns,proj_receivingTouchdowns
1,2025-09-04,Dallas Cowboys,Philadelphia Eagles,A.J. Brown,2025-09-04T19:53:13.578866,73.42575513368439,3.792249894804717,,,,,,,,,
1,2025-09-04,Dallas Cowboys,Philadelphia Eagles,CeeDee Lamb,2025-09-04T19:53:13.579837,76.08874986897924,6.392749610373309,,,,,,,,,
1,2025-09-04,Dallas Cowboys,Philadelphia Eagles,Dak Prescott,2025-09-04T19:53:13.581785,,,,0.6929999429178543,37.70449815724144,21.45549899482595,237.14975045089216,1.3237498953604654,6.5552502446017185,1.154249952074822,
1,2025-09-04,Dallas Cowboys,Philadelphia Eagles,Dallas Goedert,2025-09-04T19:53:13.582406,41.791003114260704,3.988249811380663,,,,,,,,,
1,2025-09-04,Dallas Cowboys,Philadelphia Eagles,DeVonta Smith,2025-09-04T19:53:13.583136,50.6714976260783,3.9824998490788133,,,,,,,,,
1,2025-09-04,Dallas Cowboys,Philadelphia Eagles,George Pickens,2025-09-04T19:53:13.583871,57.432253386755086,3.242249841115991,,,,,,,,,
1,2025-09-04,Dallas Cowboys,Philadelphia Eagles,Jahan Dotson,2025-09-04T19:53:13.584115,8.2109993420965,,,,,,,,,,
1,2025-09-04,Dallas Cowboys,Philadelphia Eagles,Jake Ferguson,2025-09-04T19:53:13.584907,36.431251274516484,4.796750043772693,,,,,,,,,
1,2025-09-04,Dallas Cowboys,Philadelphia Eagles,Jalen Hurts,2025-09-04T19:53:13.586970,,,,0.1837500331856316,22.206251675167994,16.733250265941397,190.47599900972264,9.186500479622092,36.976498267678764,1.055250002572909,
1,2025-09-04,Dallas Cowboys,Philadelphia Eagles,Javonte Williams,2025-09-04T19:53:13.588153,12.44025015011103,1.801249911731106,0.08878518516971678,,,,,12.08875051608194,47.57774958142478,,0.023214841451148112
1,2025-09-04,Dallas Cowboys,Philadelphia Eagles,Saquon Barkley,2025-09-04T19:53:13.589577,13.277249190775334,1.1525000978118114,0.6767477506527438,,,,,20.63100153741984,96.87474409565706,,0.09275222978489382
1,2025-09-05,Kansas City Chiefs,Los Angeles Chargers,Hollywood Brown,2025-09-04T19:53:17.172301,38.24999817609796,3.8500001502036976,,,,,,,,,
1,2025-09-05,Kansas City Chiefs,Los Angeles Chargers,Isiah Pacheco,2025-09-04T19:53:17.173851,8.635999725528556,1.9635000037693082,0.11387328656951967,,,,,11.960000517611897,46.00375103487484,,0.021376727971897262
1,2025-09-05,Kansas City Chiefs,Los Angeles Chargers,JuJu Smith-Schuster,2025-09-04T11:46:33.791734,19.811999370330216,2.223000093036624,,,,,,,,,
1,2025-09-05,Kansas City Chiefs,Los Angeles Chargers,Justin Herbert,2025-09-04T19:53:17.176188,,,,0.39349998607271863,42.38324987058823,21.231250023438633,231.5,3.984749948667049,13.949999334812198,1.2067500182247153,
1,2025-09-05,Kansas City Chiefs,Los Angeles Chargers,Kareem Hunt,2025-09-04T19:53:17.177368,,,,,,,,8.415000122934575,22.85674971512328,,
1,2025-09-05,Kansas City Chiefs,Los Angeles Chargers,Keenan Allen,2025-09-04T19:53:17.177603,37.884001243194184,4.306750017576338,,,,,,,,,
1,2025-09-05,Kansas City Chiefs,Los Angeles Chargers,Ladd McConkey,2025-09-04T19:53:17.178898,69.59999673679457,6.305750154162244,,,,,,,,,
1,2025-09-05,Kansas City Chiefs,Los Angeles Chargers,Marquise Brown,2025-09-04T11:46:33.795662,,,,,,,,,,,
1,2025-09-05,Kansas City Chiefs,Los Angeles Chargers,Najee Harris,2025-09-04T19:53:17.179746,,,,,,,,,22.049998948574117,,
1,2025-09-05,Kansas City Chiefs,Los Angeles Chargers,Noah Gray,2025-09-04T19:53:17.180594,19.082749596943483,2.2725000357225547,,,,,,,,,
1,2025-09-05,Kansas City Chiefs,Los Angeles Chargers,Omarion Hampton,2025-09-04T19:53:17.182076,11.799999870300287,2.1067501368035284,0.17715207777001066,,,,,12.460250274352063,46.87199825308377,,0.04459793848392248
1,2025-09-05,Kansas City Chiefs,Los Angeles Chargers,Patrick Mahomes,2025-09-04T11:40:39.760684,,,,0.47600002807524877,39.830246964303356,24.440001057728658,243.5,3.1097496957845285,17.639999342558408,1.9035001251330956,
1,2025-09-05,Kansas City Chiefs,Los Angeles Chargers,Quentin Johnston,2025-09-04T19:53:17.184614,23.663998025978586,1.8637499527614554,,,,,,,,,
1,2025-09-05,Kansas City Chiefs,Los Angeles Chargers,Travis Kelce,2025-09-04T19:53:17.185377,47.61600225762247,6.061500055293193,,,,,,,,,
1,2025-09-05,Kansas City Chiefs,Los Angeles Chargers,Will Dissly,2025-09-04T19:53:17.185604,16.03874958250773,1.0750001867413372,,,,,,,,,
1,2025-09-05,Kansas City Chiefs,Los Angeles Chargers,Xavier Worthy,2025-09-04T19:53:17.186665,61.991997689562396,5.744249998879507,,,,,,,,,
1,2025-09-07,Arizona Cardinals,New Orleans Saints,Alvin Kamara,2025-09-07T08:35:39.975591,29.212499920584264,4.018499950572254,0.2633608916871153,,,,,15.638249838769635,58.00274779858454,,0.13263906141499393
1,2025-09-07,Arizona Cardinals,New Orleans Saints,Chris Olave,2025-09-07T08:35:39.976189,52.54424971197163,4.776749973815603,,,,,,,,,
1,2025-09-07,Arizona Cardinals,New Orleans Saints,James Conner,2025-09-07T08:35:39.977353,15.5,2.396249817954454,0.5322556405908145,,,,,15.064499294239495,73.5,,0.1122443867912602
1,2025-09-07,Arizona Cardinals,New Orleans Saints,Juwan Johnson,2025-09-07T08:35:39.978013,27.71850109072078,2.71750010693341,,,,,,,,,
1,2025-09-07,Arizona Cardinals,New Orleans Saints,Kyler Murray,2025-09-07T08:35:39.979618,,,,0.4127500538601713,31.5,19.091999900741428,223.5,4.163499677089222,28.853251188468178,1.25025000398469,
1,2025-09-07,Arizona Cardinals,New Orleans Saints,Marvin Harrison,2025-09-07T08:35:39.980197,53.341751638652994,3.7507500119540698,,,,,,,,,
1,2025-09-07,Arizona Cardinals,New Orleans Saints,Marvin Harrison Jr.,2025-09-07T08:35:39.979813,,,,,,,,,,,
1,2025-09-07,Arizona Cardinals,New Orleans Saints,Michael Wilson,2025-09-07T08:35:39.980807,24.5,1.5012499467428018,,,,,,,,,
1,2025-09-07,Arizona Cardinals,New Orleans Saints,Rashid Shaheed,2025-09-07T08:35:39.981352,39.5,3.391249935588241,,,,,,,,,
1,2025-09-07,Arizona Cardinals,New Orleans Saints,Spencer Rattler,2025-09-07T08:35:39.983008,,,,0.7497500044907333,33.312499909438195,18.890750227946377,199.5,3.732750027751701,19.361251212552883,0.3172499173830854,
1,2025-09-07,Arizona Cardinals,New Orleans Saints,Trey Benson,2025-09-07T08:35:39.983200,,,,,,,,,26.341498712593335,,
1,2025-09-07,Arizona Cardinals,New Orleans Saints,Trey McBride,2025-09-07T08:35:39.983862,63.0312523519396,5.879250093438869,,,,,,,,,
1,2025-09-07,Baltimore Ravens,Buffalo Bills,Dalton Kincaid,2025-09-07T08:35:58.390619,,,,,,,,,,,
1,2025-09-07,Baltimore Ravens,Buffalo Bills,Dawson Knox,2025-09-07T08:35:58.390798,,,,,,,,,,,
1,2025-09-07,Baltimore Ravens,Buffalo Bills,DeAndre Hopkins,2025-09-07T08:35:58.390991,,,,,,,,,,,
1,2025-09-07,Baltimore Ravens,Buffalo Bills,Derrick Henry,2025-09-07T08:35:58.391729,,,,,,,,15.198749184384583,73.42499670781213,,
1,2025-09-07,Baltimore Ravens,Buffalo Bills,James Cook,2025-09-07T08:35:58.392376,,,,,,,,10.793249136274252,54.5,,
1,2025-09-07,Baltimore Ravens,Buffalo Bills,Josh Allen,2025-09-07T08:35:58.394202,,,,0.3709999946839807,33.76350033501028,22.064250908828605,231.5,7.406749649706946,32.53949840967412,1.6552499586894203,
1,2025-09-07,Baltimore Ravens,Buffalo Bills,Lamar Jackson,2025-09-07T08:35:58.395638,,,,0.33300001511621413,28.742251072484457,21.72824800717366,229.69275386961948,6.370750012259666,47.5,1.8232500983954976,
1,2025-09-07,Baltimore Ravens,Buffalo Bills,Mark Andrews,2025-09-07T08:35:58.396210,49.1057487744528,2.8957501159411665,,,,,,,,,
1,2025-09-07,Baltimore Ravens,Buffalo Bills,Rashod Bateman,2025-09-07T08:35:58.396775,38.5,3.2225001369103734,,,,,,,,,
1,2025-09-07,Baltimore Ravens,Buffalo Bills,Ray Davis,2025-09-07T08:35:58.397155,,,,,,,,,17.5,,
1,2025-09-07,Baltimore Ravens,Buffalo Bills,Zay Flowers,2025-09-07T08:35:58.397935,57.5,5.00400002077505,,,,,,,,,
1,2025-09-07,Carolina Panthers,Jacksonville Jaguars,Brenton Strange,2025-09-07T08:35:42.974742,32.317249575931285,3.6962500045921645,,,,,,,,,
1,2025-09-07,Carolina Panthers,Jacksonville Jaguars,Brian Thomas,2025-09-07T08:35:42.975354,70.49475085062917,5.590750329684123,,,,,,,,,
1,2025-09-07,Carolina Panthers,Jacksonville Jaguars,Brian Thomas Jr.,2025-09-07T08:35:42.974944,,,,,,,,,,,
1,2025-09-07,Carolina Panthers,Jacksonville Jaguars,Bryce Young,2025-09-07T08:35:42.976958,,,,0.4607500055596678,31.5,22.064250908828605,215.5,3.011750188619337,14.5,1.066499917853776,
1,2025-09-07,Carolina Panthers,Jacksonville Jaguars,Chuba Hubbard,2025-09-07T08:35:42.978192,9.970249982831762,1.068749978553503,0.3612216000819301,,,,,13.658998856790376,60.5,,0.05952842400025331
1,2025-09-07,Carolina Panthers,Jacksonville Jaguars,Dyami Brown,2025-09-07T08:35:42.978648,25.638748787447117,1.3199999773509798,,,,,,,,,
1,2025-09-07,Carolina Panthers,Jacksonville Jaguars,Jalen Coker,2025-09-03T07:54:43.759346,37.04750174456303,2.383500006396592,,,,,,,,,
1,2025-09-07,Carolina Panthers,Jacksonville Jaguars,Parker Washington,2025-09-07T08:35:42.979209,12.487500541135667,1.1992499040304725,,,,,,,,,
1,2025-09-07,Carolina Panthers,Jacksonville Jaguars,Rico Dowdle,2025-09-07T08:35:42.979435,,,,,,,,,21.854999275273038,,
1,2025-09-07,Carolina Panthers,Jacksonville Jaguars,Tank Bigsby,2025-09-07T08:35:42.980082,,,,,,,,9.376499884668592,46.54500134151587,,
1,2025-09-07,Carolina Panthers,Jacksonville Jaguars,Tetairoa McMillan,2025-09-07T08:35:42.980756,61.144249480646735,5.469750295186493,,,,,,,,,
1,2025-09-07,Carolina Panthers,Jacksonville Jaguars,Travis Etienne,2025-09-07T08:35:42.981867,16.167500486301602,1.936250031082483,0.13790537103518458,,,,,7.91825002523637,35.47775042809442,,0.06284460334636571
1,2025-09-07,Carolina Panthers,Jacksonville Jaguars,Travis Hunter,2025-09-07T08:35:42.982508,48.5,3.633750274118399,,,,,,,,,
1,2025-09-07,Carolina Panthers,Jacksonville Jaguars,Trevor Lawrence,2025-09-07T08:35:42.984221,,,,0.47099996057897847,30.58549856709231,24.155249688938973,240.5,4.802000101157595,17.07749979849234,1.5622501092273275,
1,2025-09-07,Carolina Panthers,Jacksonville Jaguars,Xavier Legette,2025-09-07T08:35:42.984833,36.5,2.955750221324011,,,,,,,,,
1,2025-09-07,Cincinnati Bengals,Cleveland Browns,Andrei Iosivas,2025-09-07T08:35:45.525532,21.5,1.1649999355232779,,,,,,,,,
1,2025-09-07,Cincinnati Bengals,Cleveland Browns,Cedric Tillman,2025-09-07T08:35:45.526254,41.83649795529529,2.631999753069702,,,,,,,,,
1,2025-09-07,Cincinnati Bengals,Cleveland Browns,Chase Brown,2025-09-07T08:35:45.527335,20.46524996475993,3.3349999244189292,0.44135128366601895,,,,,16.08750004597753,65.5,,0.13789869225179763
1,2025-09-07,Cincinnati Bengals,Cleveland Browns,David Njoku,2025-09-07T08:35:45.527970,52.96500152655254,4.867499815540771,,,,,,,,,
1,2025-09-07,Cincinnati Bengals,Cleveland Browns,Dylan Sampson,2025-09-07T08:35:45.528184,,,,,,,,,31.185245904467365,,
1,2025-09-07,Cincinnati Bengals,Cleveland Browns,Ja'Marr Chase,2025-09-07T08:35:45.528866,89.73224984548585,7.406749649706946,,,,,,,,,
1,2025-09-07,Cincinnati Bengals,Cleveland Browns,Jerome Ford,2025-09-07T08:35:45.529270,,,,,,,,,45.5,,
1,2025-09-07,Cincinnati Bengals,Cleveland Browns,Jerry Jeudy,2025-09-07T08:35:45.529875,61.40450320589503,5.436000422081017,,,,,,,,,
1,2025-09-07,Cincinnati Bengals,Cleveland Browns,Joe Burrow,2025-09-07T08:35:45.531333,,,,0.4127500538601713,35.587500101707874,30.024749695391666,268.5,2.7587499311490338,,1.2387499876306953,
1,2025-09-07,Cincinnati Bengals,Cleveland Browns,Joe Flacco,2025-09-07T08:35:45.532331,,,,0.7255000248826726,42.7972498930271,27.197499679080394,256.1437473591578,,,1.302749930090107,
1,2025-09-07,Cincinnati Bengals,Cleveland Browns,Mike Gesicki,2025-09-07T08:35:45.532987,20.09249975286127,2.0637502693008565,,,,,,,,,
